DEPADM;DepBol;NomeDepBol;codRMet;codmun;mun;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;273;COROADOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;227,7
1;1;Rede Estadual;5;273;COROADOS;EM-3ª série;3;NOITE;2;MATEMÁTICA;307,5
1;1;Rede Estadual;5;274;CORONEL MACEDO;9º Ano EF;1;MANHA;2;MATEMÁTICA;277,9
1;1;Rede Estadual;5;274;CORONEL MACEDO;EM-3ª série;1;MANHA;2;MATEMÁTICA;282,5
1;1;Rede Estadual;5;274;CORONEL MACEDO;EM-3ª série;3;NOITE;2;MATEMÁTICA;253,7
1;1;Rede Estadual;5;275;CORUMBATAI;EM-3ª série;2;TARDE;2;MATEMÁTICA;279,1
1;1;Rede Estadual;5;275;CORUMBATAI;EM-3ª série;3;NOITE;2;MATEMÁTICA;278,4
1;1;Rede Estadual;5;277;COSMORAMA;9º Ano EF;1;MANHA;2;MATEMÁTICA;246,2
1;1;Rede Estadual;5;277;COSMORAMA;EM-3ª série;1;MANHA;2;MATEMÁTICA;282,8
1;1;Rede Estadual;5;277;COSMORAMA;EM-3ª série;3;NOITE;2;MATEMÁTICA;280,4
1;1;Rede Estadual;5;280;CRISTAIS PAULISTA;EM-3ª série;2;TARDE;2;MATEMÁTICA;289,5
1;1;Rede Estadual;5;280;CRISTAIS PAULISTA;EM-3ª série;3;NOITE;2;MATEMÁTICA;299
1;1;Rede Estadual;5;281;CRUZALIA;3º Ano EF;2;TARDE;2;MATEMÁTICA;237,9
1;1;Rede Estadual;5;281;CRUZALIA;5º Ano EF;2;TARDE;2;MATEMÁTICA;203,4
1;1;Rede Estadual;5;281;CRUZALIA;9º Ano EF;1;MANHA;2;MATEMÁTICA;279,9
1;1;Rede Estadual;5;281;CRUZALIA;EM-3ª série;1;MANHA;2;MATEMÁTICA;284,6
1;1;Rede Estadual;5;285;DESCALVADO;EM-3ª série;1;MANHA;2;MATEMÁTICA;277,9
1;1;Rede Estadual;5;285;DESCALVADO;EM-3ª série;2;TARDE;2;MATEMÁTICA;268,3
1;1;Rede Estadual;5;285;DESCALVADO;EM-3ª série;3;NOITE;2;MATEMÁTICA;276,3
1;1;Rede Estadual;5;287;DIVINOLANDIA;9º Ano EF;1;MANHA;2;MATEMÁTICA;270,5
1;1;Rede Estadual;5;287;DIVINOLANDIA;9º Ano EF;2;TARDE;2;MATEMÁTICA;298,8
1;1;Rede Estadual;5;287;DIVINOLANDIA;EM-3ª série;1;MANHA;2;MATEMÁTICA;305,2
1;1;Rede Estadual;5;287;DIVINOLANDIA;EM-3ª série;2;TARDE;2;MATEMÁTICA;313,7
1;1;Rede Estadual;5;288;DOBRADA;3º Ano EF;1;MANHA;2;MATEMÁTICA;193,3
1;1;Rede Estadual;5;288;DOBRADA;3º Ano EF;2;TARDE;2;MATEMÁTICA;184
1;1;Rede Estadual;5;288;DOBRADA;5º Ano EF;1;MANHA;2;MATEMÁTICA;247,2
1;1;Rede Estadual;5;288;DOBRADA;5º Ano EF;2;TARDE;2;MATEMÁTICA;248,5
1;1;Rede Estadual;5;288;DOBRADA;9º Ano EF;1;MANHA;2;MATEMÁTICA;322
1;1;Rede Estadual;5;288;DOBRADA;EM-3ª série;1;MANHA;2;MATEMÁTICA;308
1;1;Rede Estadual;5;288;DOBRADA;EM-3ª série;3;NOITE;2;MATEMÁTICA;359,3
1;1;Rede Estadual;5;289;DOIS CORREGOS;9º Ano EF;1;MANHA;2;MATEMÁTICA;233,5
1;1;Rede Estadual;5;289;DOIS CORREGOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;225,3
1;1;Rede Estadual;5;289;DOIS CORREGOS;EM-3ª série;1;MANHA;2;MATEMÁTICA;270,6
1;1;Rede Estadual;5;289;DOIS CORREGOS;EM-3ª série;2;TARDE;2;MATEMÁTICA;275,1
1;1;Rede Estadual;5;289;DOIS CORREGOS;EM-3ª série;3;NOITE;2;MATEMÁTICA;267,1
1;1;Rede Estadual;5;290;DOLCINOPOLIS;9º Ano EF;1;MANHA;2;MATEMÁTICA;290,4
1;1;Rede Estadual;5;290;DOLCINOPOLIS;EM-3ª série;1;MANHA;2;MATEMÁTICA;307,2
1;1;Rede Estadual;5;291;DOURADO;9º Ano EF;2;TARDE;2;MATEMÁTICA;240,9
1;1;Rede Estadual;5;291;DOURADO;EM-3ª série;1;MANHA;2;MATEMÁTICA;284,8
1;1;Rede Estadual;5;292;DRACENA;9º Ano EF;1;MANHA;2;MATEMÁTICA;272,5
1;1;Rede Estadual;5;292;DRACENA;9º Ano EF;2;TARDE;2;MATEMÁTICA;282,3
1;1;Rede Estadual;5;292;DRACENA;EM-3ª série;1;MANHA;2;MATEMÁTICA;303,1
1;1;Rede Estadual;5;292;DRACENA;EM-3ª série;2;TARDE;2;MATEMÁTICA;277,5
1;1;Rede Estadual;5;292;DRACENA;EM-3ª série;3;NOITE;2;MATEMÁTICA;282,6
1;1;Rede Estadual;5;293;DUARTINA;9º Ano EF;1;MANHA;2;MATEMÁTICA;245,8
1;1;Rede Estadual;5;293;DUARTINA;EM-3ª série;1;MANHA;2;MATEMÁTICA;267,6
1;1;Rede Estadual;5;293;DUARTINA;EM-3ª série;3;NOITE;2;MATEMÁTICA;237,4
1;1;Rede Estadual;5;295;ECHAPORA;9º Ano EF;1;MANHA;2;MATEMÁTICA;243,8
1;1;Rede Estadual;5;295;ECHAPORA;EM-3ª série;1;MANHA;2;MATEMÁTICA;265,8
1;1;Rede Estadual;5;295;ECHAPORA;EM-3ª série;3;NOITE;2;MATEMÁTICA;259
